Product URL,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4Nzk2ODk4MDYwOTExODY6MTcyMDIxMTUxMTpzcF9idGY6MzAwMjM1MjY3MTM1MTMyOjowOjo&url=%2FYindella-Laptop-Backpack-Multifunctional-Backpacks%2Fdp%2FB0D6CQ91LR%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26dib%3DeyJ2IjoiMSJ9.-mIsZ5z6HKcRMaztEBGBuIuOVq8S_ARxYVevRtX_wK8xL0-1cuIGGxlLBwdlNaJQQ33gW1IIgg1U6VQcgETEzKtAnj5Ps6HNMfCTAuaxRJh1OFWRMx6GImhXDPenISXjjVTn_ers0BplcsE8Vj7PuN0_NOqm4CEdC5g4kbfGByL8714ZhosyYmMz7-DJyIH5a9g8B2kqxGashJ3K4uZTUGI5UYUWAxknIiKHRrfLYV8.yrBIMtT8RPOcOdhG8Gs7AYIw9v0G7trKW8jGKl6yEV4%26dib_tag%3Dse%26keywords%3Dbags%26qid%3D1720211511%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,Yindella Large Laptop Backpack Travel Bag with USB Charging Port Multifunctional Business Backpacks for Unisex 28 Ltrs Large Fits Up to 16 Inch Laptop for Office Work College School Bags,"₹1,998",N/A,N/A
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4Nzk2ODk4MDYwOTExODY6MTcyMDIxMTUxMTpzcF9idGY6MzAwMjM2NjMzMzIzNTMyOjowOjo&url=%2FGangs-Professional-Business-Backpack-resistant%2Fdp%2FB0CJDXS434%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26dib%3DeyJ2IjoiMSJ9.-mIsZ5z6HKcRMaztEBGBuIuOVq8S_ARxYVevRtX_wK8xL0-1cuIGGxlLBwdlNaJQQ33gW1IIgg1U6VQcgETEzKtAnj5Ps6HNMfCTAuaxRJh1OFWRMx6GImhXDPenISXjjVTn_ers0BplcsE8Vj7PuN0_NOqm4CEdC5g4kbfGByL8714ZhosyYmMz7-DJyIH5a9g8B2kqxGashJ3K4uZTUGI5UYUWAxknIiKHRrfLYV8.yrBIMtT8RPOcOdhG8Gs7AYIw9v0G7trKW8jGKl6yEV4%26dib_tag%3Dse%26keywords%3Dbags%26qid%3D1720211511%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"Gang's Professional Business Laptop Backpack fits 15 inch laptop Best Backpack for women and men, water resistant Travel Backpack - Silver Grey","₹3,499",5.0 out of 5 stars,1
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NDAyOTMzNzE1ODM0MTg2OjE3MjAyMTE1MTU6c3BfYXRmX25leHQ6MjAwMzgzMDk3ODgyOTg6OjA6Og&url=%2FNumber-Backpack-Compartment-Charging-Organizer%2Fdp%2FB09VTDMRY7%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26dib%3DeyJ2IjoiMSJ9.4o7XUTVOIHPU88Wdalpz55VWygP1HqL8R_LbVXRf26eyukkFO5yjBPp00IGTGkUg0ylJCg4Si4PdhrQvG0VxRnTzcWUp3mgoq8TUx5DkcIzH-B4PEZ0LoJRxHLkZ2gVZrNcwmiae2d8ci2Z3O-rKU0DKS3VogNaJCQkACFPHeIgBy5cKLJakDTJrpEiSkVYGAlmrNoPCjh39UyB9CLF9XcIZQ390_HdxnZq_wZ1yQAk.aTWO0qjxSZhF4yrj9VJei_xoJ31EJP6FAV_66sxnP84%26dib_tag%3Dse%26keywords%3Dbags%26qid%3D1720211515%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",₹649,4.3 out of 5 stars,11463
https://www.amazon.in/gp/bestsellers/computers/1375464031/ref=sr_bs_1_1375464031_1,"Safari Omega spacious/large laptop backpack with Raincover, college bag, travel bag for men and women, Black, 30 Litre",₹834,3.9 out of 5 stars,1135
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_19?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.4o7XUTVOIHPU88Wdalpz55VWygP1HqL8R_LbVXRf26eyukkFO5yjBPp00IGTGkUg0ylJCg4Si4PdhrQvG0VxRnTzcWUp3mgoq8TUx5DkcIzH-B4PEZ0LoJRxHLkZ2gVZrNcwmiae2d8ci2Z3O-rKU0DKS3VogNaJCQkACFPHeIgBy5cKLJakDTJrpEiSkVYGAlmrNoPCjh39UyB9CLF9XcIZQ390_HdxnZq_wZ1yQAk.aTWO0qjxSZhF4yrj9VJei_xoJ31EJP6FAV_66sxnP84&dib_tag=se&keywords=bags&qid=1720211515&sprefix=ba%2Caps%2C283&sr=8-19,American Tourister Valex 28 Ltrs Large Laptop Backpack,"₹1,953",4.3 out of 5 stars,5266
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_20?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.4o7XUTVOIHPU88Wdalpz55VWygP1HqL8R_LbVXRf26eyukkFO5yjBPp00IGTGkUg0ylJCg4Si4PdhrQvG0VxRnTzcWUp3mgoq8TUx5DkcIzH-B4PEZ0LoJRxHLkZ2gVZrNcwmiae2d8ci2Z3O-rKU0DKS3VogNaJCQkACFPHeIgBy5cKLJakDTJrpEiSkVYGAlmrNoPCjh39UyB9CLF9XcIZQ390_HdxnZq_wZ1yQAk.aTWO0qjxSZhF4yrj9VJei_xoJ31EJP6FAV_66sxnP84&dib_tag=se&keywords=bags&qid=1720211515&sprefix=ba%2Caps%2C283&sr=8-20,Gear Aspire 30L Medium Water Restant Office Laptop Backpack /Backpack for Men/Women (Black),"₹1,014",4.3 out of 5 stars,8219
https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV/ref=sr_1_21?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.4o7XUTVOIHPU88Wdalpz55VWygP1HqL8R_LbVXRf26eyukkFO5yjBPp00IGTGkUg0ylJCg4Si4PdhrQvG0VxRnTzcWUp3mgoq8TUx5DkcIzH-B4PEZ0LoJRxHLkZ2gVZrNcwmiae2d8ci2Z3O-rKU0DKS3VogNaJCQkACFPHeIgBy5cKLJakDTJrpEiSkVYGAlmrNoPCjh39UyB9CLF9XcIZQ390_HdxnZq_wZ1yQAk.aTWO0qjxSZhF4yrj9VJei_xoJ31EJP6FAV_66sxnP84&dib_tag=se&keywords=bags&qid=1720211515&sprefix=ba%2Caps%2C283&sr=8-21,Safari Flash Medium 26L Water Resistant Polyester Casual Backpack- Blue,"₹1,054",3.9 out of 5 stars,2595
https://www.amazon.in/ADISA-BP010-Weight-Casual-Backpack/dp/B07MXL986B/ref=sr_1_22?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.4o7XUTVOIHPU88Wdalpz55VWygP1HqL8R_LbVXRf26eyukkFO5yjBPp00IGTGkUg0ylJCg4Si4PdhrQvG0VxRnTzcWUp3mgoq8TUx5DkcIzH-B4PEZ0LoJRxHLkZ2gVZrNcwmiae2d8ci2Z3O-rKU0DKS3VogNaJCQkACFPHeIgBy5cKLJakDTJrpEiSkVYGAlmrNoPCjh39UyB9CLF9XcIZQ390_HdxnZq_wZ1yQAk.aTWO0qjxSZhF4yrj9VJei_xoJ31EJP6FAV_66sxnP84&dib_tag=se&keywords=bags&qid=1720211515&sprefix=ba%2Caps%2C283&sr=8-22,ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,₹594,4.0 out of 5 stars,1347
https://www.amazon.in/Hilfiger-Joshua-Backpack-TH-JOSHUALAP01/dp/B07N8GRWTZ/ref=sr_1_23?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.4o7XUTVOIHPU88Wdalpz55VWygP1HqL8R_LbVXRf26eyukkFO5yjBPp00IGTGkUg0ylJCg4Si4PdhrQvG0VxRnTzcWUp3mgoq8TUx5DkcIzH-B4PEZ0LoJRxHLkZ2gVZrNcwmiae2d8ci2Z3O-rKU0DKS3VogNaJCQkACFPHeIgBy5cKLJakDTJrpEiSkVYGAlmrNoPCjh39UyB9CLF9XcIZQ390_HdxnZq_wZ1yQAk.aTWO0qjxSZhF4yrj9VJei_xoJ31EJP6FAV_66sxnP84&dib_tag=se&keywords=bags&qid=1720211515&sprefix=ba%2Caps%2C283&sr=8-23,Tommy Hilfiger Joshua Polyester 20.61L Laptop Backpack For Unisex - Black,"₹1,569",4.3 out of 5 stars,1294
https://www.amazon.in/gp/bestsellers/kitchen/1380564031/ref=sr_bs_7_1380564031_1,"Storite 2 Pack Moisture Proof Nylon Large Size Underbed Storage Bag For Clothes (54 x 46 x 28 cm) - Black, Rectangular",₹698,4.4 out of 5 stars,20419
